personId,legMode,planIndex,planElementIndex,planElementType,activityType,activityEndTime,primaryPurpose,householdId,activityLocationX,activityLocationY
9580,,0,1,activity,Home,9.745,work,2309,415911.3173928263,4596867.85127973
9580,hov2_teleportation,0,2,leg,,,work,2309,,
9580,,0,3,activity,othdiscr,10.309,work,2309,415878.0253935163,4596147.098800303
9580,hov2,0,4,leg,,,work,2309,,
9580,,0,5,activity,work,10.393,atwork,2309,416685.4397597311,4572643.595807977
9580,walk,0,6,leg,,,atwork,2309,,
9580,,0,7,activity,atwork,13.572,atwork,2309,417356.5745386094,4572545.142426399
9580,walk,0,8,leg,,,atwork,2309,,
9580,,0,9,activity,work,18.326,work,2309,417637.2546466576,4572462.45627751
9580,hov2,0,10,leg,,,work,2309,,
9580,,0,11,activity,othmaint,18.401,work,2309,413679.0423725536,4592644.909997129
9580,hov2,0,12,leg,,,work,2309,,
9580,,0,13,activity,home,,work,2309,415911.3173928263,4596867.85127973
9581,,0,1,activity,Home,8.726,work,2309,415754.238172267,4596949.449351035
9581,bike,0,2,leg,,,work,2309,,
9581,,0,3,activity,work,18.743,work,2309,414138.67320896854,4594770.557272362
9581,bike,0,4,leg,,,work,2309,,
9581,,0,5,activity,home,,work,2309,415754.238172267,4596949.449351035
19530,,0,1,activity,Home,7.838,work,5122,415055.1483157869,4594472.823629292
19530,walk,0,2,leg,,,work,5122,,
19530,,0,3,activity,work,12.247,atwork,5122,414318.6558484677,4593257.064501711
19530,walk,0,4,leg,,,atwork,5122,,
19530,,0,5,activity,atwork,14.308,atwork,5122,414069.11091212457,4593951.638853193
19530,walk,0,6,leg,,,atwork,5122,,
19530,,0,7,activity,work,20.101,work,5122,414159.3376460855,4593160.621513998
19530,walk,0,8,leg,,,work,5122,,
19530,,0,9,activity,home,,work,5122,415055.1483157869,4594472.823629292
20430,,0,1,activity,Home,7.506,escort,5352,414054.70926951966,4593957.907107804
20430,ride_hail,0,2,leg,,,escort,5352,,
20430,,0,3,activity,escort,11.06,escort,5352,414141.8954079438,4593392.562777568
20430,ride_hail,0,4,leg,,,escort,5352,,
20430,,0,5,activity,home,,escort,5352,414054.70926951966,4593957.907107804
20431,,0,1,activity,Home,8.128,escort,5352,413700.9479205019,4593924.544561733
20431,hov3,0,2,leg,,,escort,5352,,
20431,,0,3,activity,escort,8.891,escort,5352,414003.5965399367,4597843.918642815
20431,hov3_teleportation,0,4,leg,,,escort,5352,,
20431,,0,5,activity,home,,escort,5352,413700.9479205019,4593924.544561733
20432,,0,1,activity,Home,5.966,work,5352,414266.4320470525,4594145.010196944
20432,drive_transit,0,2,leg,,,work,5352,,
20432,,0,3,activity,work,17.768,work,5352,418744.31895231386,4561498.234141238
20432,drive_transit,0,4,leg,,,work,5352,,
20432,,0,5,activity,home,,work,5352,414266.4320470525,4594145.010196944
