vehicleId,vehicleTypeId,householdId
9198,CAR,5122
9612,CAR,5352
9613,CAR,5352
9939,CAR,5536
9940,CAR,5536
11352,CAR,6357
11353,CAR,6357
11354,CAR,6357
19275,CAR,10849
19276,CAR,10849
22616,CAR,13069
22617,CAR,13069
22618,CAR,13069
23031,CAR,13314
23032,CAR,13314
24456,CAR,14075
24457,CAR,14075
24458,CAR,14075
33101,CAR,19338
33102,CAR,19338
33103,CAR,19338
37790,CAR,22193
38280,CAR,22432
38281,CAR,22432
39896,CAR,23364
39897,CAR,23364
43219,CAR,25590
43220,CAR,25590
43221,CAR,25590
49118,CAR,30113
49119,CAR,30113
49785,CAR,30545
49786,CAR,30545
51579,CAR,31824
52411,CAR,32356
52412,CAR,32356
52413,CAR,32356
52414,CAR,32356
57605,CAR,35539
57606,CAR,35539
58534,CAR,36022
58535,CAR,36022
63178,CAR,39702
63179,CAR,39702
65870,CAR,41849
65871,CAR,41849
68400,CAR,43813
68401,CAR,43813
68402,CAR,43813
68403,CAR,43813
70551,CAR,45201
70552,CAR,45201
71448,CAR,45794
72707,CAR,46925
75559,CAR,49155
75560,CAR,49155
75561,CAR,49155
75562,CAR,49155
78703,CAR,51534
78704,CAR,51534
82469,CAR,53840
82470,CAR,53840
82471,CAR,53840
93492,CAR,59917
93493,CAR,59917
93494,CAR,59917
93495,CAR,59917
95070,CAR,60779
95071,CAR,60779
95072,CAR,60779
98013,CAR,62316
98014,CAR,62316
98015,CAR,62316
99362,CAR,63076
101334,CAR,64241
101335,CAR,64241
101336,CAR,64241
103050,CAR,65346
103051,CAR,65346
104422,CAR,66407
104423,CAR,66407
109612,CAR,69615
109613,CAR,69615
109875,CAR,69766
111300,CAR,70556
111301,CAR,70556
113239,CAR,71855
113240,CAR,71855
113904,CAR,72420
113905,CAR,72420
114251,CAR,72790
115195,CAR,73552
116033,CAR,74017
116473,CAR,74290
117734,CAR,75032
117932,CAR,75166
117933,CAR,75166
118107,CAR,75275
118108,CAR,75275
118109,CAR,75275
118157,CAR,75298
119102,CAR,75840
120193,CAR,76608
120433,CAR,76772
120434,CAR,76772
120435,CAR,76772
121776,CAR,77510
121777,CAR,77510
122427,CAR,78002
122428,CAR,78002
123107,CAR,78535
123108,CAR,78535
127721,CAR,82194
130683,CAR,84738
130684,CAR,84738
133093,CAR,86633
133094,CAR,86633
133727,CAR,87136
133728,CAR,87136
137946,CAR,90909
137947,CAR,90909
143443,CAR,94546
146566,CAR,96249
146567,CAR,96249
147267,CAR,96611
147268,CAR,96611
148305,CAR,97125
148306,CAR,97125
148307,CAR,97125
148308,CAR,97125
153126,CAR,100009
153127,CAR,100009
153128,CAR,100009
154033,CAR,100477
154105,CAR,100516
154106,CAR,100516
154107,CAR,100516
154108,CAR,100516
154490,CAR,100711
154491,CAR,100711
156683,CAR,101860
156684,CAR,101860
156685,CAR,101860
157241,CAR,102156
157242,CAR,102156
157243,CAR,102156
159296,CAR,103228
159297,CAR,103228
159298,CAR,103228
161503,CAR,104714
161504,CAR,104714
162914,CAR,105683
162915,CAR,105683
162916,CAR,105683
162917,CAR,105683
165252,CAR,106984
165253,CAR,106984
165254,CAR,106984
165255,CAR,106984
165655,CAR,107167
165656,CAR,107167
167161,CAR,107863
167162,CAR,107863
170700,CAR,109705
170939,CAR,109834
172436,CAR,110828
172437,CAR,110828
172782,CAR,111074
172783,CAR,111074
175313,CAR,112688
175329,CAR,112698
175330,CAR,112698
176860,CAR,113686
176861,CAR,113686
176862,CAR,113686
176863,CAR,113686
182661,CAR,117348
182662,CAR,117348
185962,CAR,120519
186603,CAR,121383
191202,CAR,126927
194693,CAR,131379
195273,CAR,131994
197272,CAR,134930
200293,CAR,139491
200944,CAR,140518
201258,CAR,141016
203607,CAR,144140
203757,CAR,144343
203758,CAR,144343
204174,CAR,144813
204175,CAR,144813
204176,CAR,144813
204978,CAR,145750
204979,CAR,145750
206734,CAR,147574
206819,CAR,147678
207477,CAR,148195
207478,CAR,148195
